A,k,N,is_prime
19,116,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,117,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,118,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,119,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,120,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,121,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,122,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,123,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,124,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,125,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,126,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,127,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,128,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,129,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,130,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,131,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,132,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,133,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,134,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,135,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,136,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,1
19,137,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,138,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,139,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,140,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,141,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,142,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,143,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,144,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,145,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,146,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,147,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,148,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,149,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,150,19000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,151,190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
19,152,1900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000997,0
